STATION,YEAR,MONTH,PRECIPITATION
115,1939,SEP,163.0
116,1937,APR,25.0
116,1937,AUG,175.0
116,1937,DEC,92.0
116,1937,FEB,122.0
116,1937,JAN,62.0
116,1937,JUL,282.0
116,1937,JUN,13.0
116,1937,MAR,51.0
116,1937,MAY,0.0
116,1937,NOV,0.0
116,1937,OCT,18.0
116,1937,SEP,212.0
116,1938,APR,0.0
116,1938,AUG,354.0
116,1938,DEC,56.0
116,1938,FEB,106.0
116,1938,JAN,66.0
116,1938,JUL,270.0
116,1938,JUN,188.0
116,1938,MAR,76.0
116,1938,MAY,0.0
116,1938,NOV,32.0
116,1938,OCT,0.0
116,1938,SEP,52.0
116,1939,APR,50.0
116,1939,AUG,264.5
116,1939,DEC,74.0
116,1939,FEB,138.0
116,1939,JAN,58.0
116,1939,JUL,276.0
116,1939,JUN,0.0
116,1939,MAR,26.0
116,1939,MAY,0.0
116,1939,NOV,16.0
116,1939,OCT,9.0
116,1939,SEP,132.0
117,1937,APR,18.0
117,1937,AUG,198.0
117,1937,DEC,166.0
117,1937,FEB,107.0
117,1937,JAN,68.0
117,1937,JUL,320.0
117,1937,JUN,66.0
117,1937,MAR,51.0
117,1937,MAY,0.0
117,1937,NOV,0.0
117,1937,OCT,20.0
117,1937,SEP,182.0
117,1938,APR,0.0
117,1938,AUG,262.0
117,1938,DEC,68.0
117,1938,FEB,94.0
117,1938,JAN,60.0
117,1938,JUL,196.0
117,1938,JUN,148.0
117,1938,MAR,70.0
117,1938,MAY,0.0
117,1938,NOV,5.0
117,1938,OCT,0.0
117,1938,SEP,74.0
117,1939,APR,36.0
117,1939,AUG,230.0
117,1939,DEC,117.0
117,1939,FEB,120.0
117,1939,JAN,76.0
117,1939,JUL,258.0
117,1939,JUN,0.0
117,1939,MAR,32.0
117,1939,MAY,0.0
117,1939,NOV,2.5
117,1939,OCT,10.0
117,1939,SEP,128.0
118,1937,APR,12.0
118,1937,AUG,272.0
118,1937,DEC,160.0
118,1937,FEB,109.0
118,1937,JAN,65.0
118,1937,JUL,332.0
118,1937,JUN,48.0
118,1937,MAR,48.0
118,1937,MAY,0.0
118,1937,NOV,0.0
118,1937,OCT,18.0
