STATION,YEAR,PRECIPITATION
110,1937,119.08333333333333
110,1938,128.0
110,1939,107.83333333333333
111,1937,115.41666666666667
111,1938,119.33333333333333
111,1939,102.54166666666667
112,1937,116.66666666666667
112,1938,120.25
112,1939,102.5
113,1937,85.25
113,1938,87.83333333333333
113,1939,78.875
114,1937,89.16666666666667
114,1938,103.5
114,1939,89.45833333333333
115,1937,92.33333333333333
115,1938,100.66666666666667
115,1939,90.20833333333333
116,1937,87.66666666666667
116,1938,100.0
116,1939,86.95833333333333
117,1937,99.66666666666667
117,1938,81.41666666666667
117,1939,84.125
118,1937,104.16666666666667
118,1938,77.75
118,1939,83.04166666666667
119,1937,97.66666666666667
119,1938,85.33333333333333
119,1939,81.70833333333333
120,1937,100.25
120,1938,79.91666666666667
120,1939,85.08333333333333
121,1937,135.25
121,1938,149.16666666666666
121,1939,126.70833333333333
122,1937,131.70833333333334
122,1938,136.75
122,1939,117.04166666666667
123,1937,118.5
123,1938,114.83333333333333
123,1939,105.33333333333333
124,1937,125.91666666666667
124,1938,112.0
124,1939,100.70833333333333
125,1937,97.83333333333333
125,1938,112.16666666666667
125,1939,95.375
130,1938,95.56474944629015
130,1939,111.66666666666667
130,1940,140.08333333333334
130,1941,137.33333333333334
130,1942,86.30109126984127
130,1943,95.58333333333333
130,1944,132.0
130,1945,106.63446969696969
130,1946,136.16666666666666
130,1947,67.25
130,1948,91.08333333333333
130,1949,140.33333333333334
130,1950,85.75
130,1951,136.41666666666666
130,1952,106.75
130,1953,76.3968253968254
130,1954,113.75
130,1955,134.921800018457
130,1956,64.16472868217055
130,1957,114.19404069767442
130,1958,137.11458333333334
130,1959,132.3373015873016
130,1960,98.0
130,1961,136.75
130,1962,96.16666666666667
130,1963,123.5
130,1964,142.33333333333334
130,1965,127.83333333333333
130,1966,144.75
130,1967,154.0
130,1968,105.0
130,1969,115.41666666666667
130,1970,122.0
130,1971,153.16666666666666
130,1972,105.41666666666667
130,1973,90.58333333333333
130,1974,149.08333333333334
130,1975,105.41666666666667
130,1976,102.5
130,1977,131.66666666666666
130,1978,182.58333333333334
130,1979,108.75
130,1980,110.41472868217055
130,1981,177.5
130,1982,156.25
