date,precip
1937-JAN,195.54545454545453
1937-FEB,154.6818181818182
1937-MAR,89.31818181818181
1937-APR,0.7727272727272727
1937-MAY,14.454545454545457
1937-JUN,58.0
1937-JUL,297.0
1937-AUG,340.0
1937-SEP,122.0
1937-OCT,20.0
1937-NOV,0.0
1937-DEC,82.0
1938-JAN,64.0
1938-FEB,118.0
1938-MAR,74.0
1938-APR,0.0
1938-MAY,0.0
1938-JUN,170.0
1938-JUL,316.0
1938-AUG,376.0
1938-SEP,154.0
1938-OCT,0.0
1938-NOV,16.0
1938-DEC,58.0
1939-JAN,56.0
1939-FEB,134.0
1939-MAR,30.0
1939-APR,34.0
1939-MAY,0.0
1939-JUN,0.0
1939-JUL,229.26829268292684
1939-AUG,338.2926829268293
1939-SEP,169.41463414634146
1939-OCT,69.6829268292683
1939-NOV,86.0
1939-DEC,57.51219512195122
